Producto,ID de producto,Idioma,Etiqueta de feed,Descripción,Datos importantes,Añadir a la descripción
Keyra ACONDICIONADOR BI FASE KERATINA 500MLUnidad,3517790649346740365,es,ES,"Acondicionador Bi-Fase EL PRODUCTO Acondicionador en 2 fases sin aclarado , que facilita el peinado, proporciona reparación de la fibra capilar y evita el encrespamiento. Tu cabello estará más sano y brillante desde la primera aplicación. Resultados visibles inmediatamente. BENEFICIOS DEL PRODUCTO Acondiciona, Nutre, Hidrata y Reestructura el cabello. Producto formulado a base de siliconas que forman un fuerte film protector , que ayuda a prevenir al cabello contra las agresiones externas. Tiene propiedades antiestáticas , mejorando así la peinabilidad, mientras que contribuyen a aumentar el esplendor y la suavidad del cabello. Aporta brillo, flexibilidad y volumen, sin dejar un efecto graso. APLICACIÓN Antes de usar es preciso agitar el envase, de modo que las dos capas se mezclan formando temporalmente una emulsión. Seguidamente vaporizar el cabello con el producto. Consiguiendo de inmediato un efecto acondicionador. No necesita aclarado. FORMATOS DISPONIBLES : Botella 500 ml.",,"Fórmula, Ingrediente, Beneficios"
Glossco MASCARILLA COLOR RED 100ML.Unidad,15945542599122188698,es,ES,"COLOR BEAT LIVING HAIR COLOR REFRESCA, MEZCLA Y CUIDA TU CABELLO CON CADA NUEVO LOOK DE COLOR. CREA Y PERSONALIZA TU COLOR CON LOS TONOS FANTASÍA Y DELICIOSOS PASTELES. SUMÉRGETE EN UN UNIVERSO EN EL QUE CUALQUIER COLOR ES POSIBLE. Color Beat es la nueva coloración cosmética de Glossco Professional. Una coloración semipermanente en crema que aporta un tratamiento de nutrición total para tu cabello y le aporta un brillo y una suavidad extraordinarios. Tu cabello más sano que nunca con una coloración libre de amoníaco, sin peróxido, sin sulfatos y libre de PPD. Enriquecida con aceite de Gardenia y Coco, la coloración Color Beat hidrata, nutre y suaviza tu cabello como si de una mascarilla capilar reestructurante se tratara. Este complejo oleoso compuesto de triglicéridos conserva una elevada afinidad con las proteínas del cabello y, debido a su bajo peso molecular y a su estructura de cadena lineal, es capaz de penetrar las capas más profundas de las fibras capilares. COLORACIÓN VIVA Colores vivos, refrescos y tonos fantasía. En 100 ml. FANTASY Nueve colores, múltiples opciones. Colores fantasía en toda su expresión. Aplícalos en su versión pura 100% o su versión mix mezcándolos con Clear & Gloss. Todos son personalizables en grado de color. Podrás crear deliciosos tonos pasteles. También puedes mezclarlos entre sí y crear colores inéditos. MODO DE EMPLEO Aplicar directamente sobre el cabello lavado y secado con una toalla. Distribuir la crema por el cabello con un peine, con los dedos o con bol y paletina. Se recomienda el uso de guantes. Dejar actuar de 3 a 5 minutos. A mayor tiempo de exposición, más vivo queda el color. Enjuagar abundantemente con agua hasta que esta salga clara (no emplear champú). En caso de manchas en la piel, pueden eliminarse con un quitamanchas capilar o con un poco de champú y algodón.",,"Fórmula, Ingrediente, Beneficios"
CHAMPU WHITE & SILVER ELIMINA AMARILLO 1000MLUnidad,9502068808246911004,es,ES,WHITE & SILVER indicado para cabellos blancos y plateados. Neutraliza el tono amarillo. Rubios radiantes y luminosos.,,"Fórmula, Ingrediente, Beneficios"
CHAMPU BOTUGEN RECONSTRUCTOR PH6.5 1000MLUnidad,5225322309697791231,es,ES,"Fanola botugen champú reconstructor profesiona 1000 ml con un PH 6.5 con una fórmula especial libre de sulfato y sal añadida que lava delicadamente eliminando residuos e impurezas. Abre las escamas del cabello para una acción reestructurante dejándolo suave, hidratado, tonificado y voluminoso. Producto de la línea efecto ""Botox"" para la reconstrucción de los cabellos quebradizos y dañados Ingredientes principios activos: - Botolife - Queratina - Ácido hialurónico efecto ""Botox"" para la reconstrucción de los cabellos quebradizos y dañados MODO DE EMPLEO Aplicar la cantidad necesaria para hacer espuma, masajear delicadamente. Aclarar con agua. Repetir una vez más.",,"Fórmula, Ingrediente, Beneficios"
LENDAN CHAMPÚ NEUTRAL ALGAS GLYCOLIC 1000MLUnidad,8253361226553536553,es,ES,"Champú Neutral Algas Glycolic 1000 ml – Lendan Champú de uso frecuente diseñado para proporcionar una limpieza suave y eficaz del cabello y el cuero cabelludo, respetando su equilibrio natural. Su fórmula enriquecida con extractos de algas y ácido glicólico ayuda a eliminar impurezas, residuos y acumulaciones de productos, dejando el cabello limpio, fresco y revitalizado. Gracias a su acción purificante, contribuye a mantener el cabello ligero, suave y con un aspecto saludable, sin resecar la fibra capilar. Su formato profesional de 1000 ml es ideal para quienes buscan un producto de uso diario con un excelente rendimiento, tanto en el hogar como en salones de peluquería. Beneficios: Limpieza eficaz y respetuosa con el cuero cabelludo. Ayuda a eliminar residuos e impurezas acumuladas. Fórmula con extractos de algas y ácido glicólico. Aporta frescura y sensación de limpieza duradera. Deja el cabello suave, ligero y fácil de peinar. Adecuado para uso frecuente. Formato profesional de gran capacidad. Modo de empleo: Aplicar sobre el cabello húmedo, masajear suavemente hasta formar espuma y aclarar con abundante agua. Repetir la aplicación si es necesario. Formato: 1000 ml.** Ideal para uso profesional y doméstico. Cuidado diario para todo tipo de cabellos El Champú Neutral Algas Glycolic de Lendan ha sido desarrollado para ofrecer una limpieza equilibrada que ayuda a mantener el cabello en óptimas condiciones lavado tras lavado. Su fórmula está pensada para proporcionar una agradable sensación de confort durante la higiene capilar, contribuyendo a que el cabello conserve su aspecto natural y saludable. Su textura facilita una aplicación uniforme y una distribución homogénea por todo el cabello, favoreciendo una limpieza completa desde la raíz hasta las puntas. Además, ayuda a mantener la sensación de frescura en el cuero cabelludo y deja el cabello con un tacto suave y ligero. Gracias a su formato de 1000 ml, resulta una opción práctica y duradera para quienes buscan un producto de uso habitual con un excelente rendimiento. Es adecuado para incorporar a cualquier rutina de cuidado capilar y puede utilizarse como primer paso antes de la aplicación de mascarillas, acondicionadores u otros tratamientos específicos. La combinación de ingredientes seleccionados por Lendan permite disfrutar de una experiencia de lavado eficaz y agradable, aportando limpieza, suavidad y una sensación de bienestar en cada uso.",,"Fórmula, Ingrediente, Beneficios"
CHAMPU INVIGO BLONDE RECHARGE 250MLUnidad,2361078273346356046,es,ES,"CHAMPÚ POTENCIADOR DEL COLOR COOL BLONDE CON PIGMENTOS DE COLOR Refresca y mantiene el brillo y la intensidad del rubio natural o con mechas. Este champú violeta impide que el rubio natural o teñido amarillee. Ayuda a eliminar el efecto quemado, dejándolo suave al tacto. MODO DE EMPLEO: Aplicar sobre el cabello húmedo y hacer espuma. Dejar actuar entre 3 y 5 minutos. Aclarar abundantemente.",,"Fórmula, Ingrediente, Beneficios"
CHAMPU ANTI-ANARANJADO NO ORANGE 1000MLUnidad,3281900961108807312,es,ES,"Indicado para cabellos teñidos con tonos oscuros. Lava delicadamente y neutraliza los reflejos cobrizos y rojos indeseados, donando de brillo e hidratación el cabello. MODO DE EMPLEO Ponerse guantes desechables y aplicar a cabellos mojado. Masajear. Dejar actuar de 1 a 5 minutos . Emulsionar y enjuagar. Repetir la aplicación. No aplicar sobre cabellos decolorados ni con mechas. No mancha la piel.",,"Fórmula, Ingrediente, Beneficios"
Glossco CHAMPU PERFECT REPAIR 1000MLUnidad,6956137636272532815,es,ES,"Champú Perfect Repair Glossco 1000 ml. Reparador cabello. Champú nutritivo indicado para cabellos dañados, decolorados o porosos. Su fórmula reestructurante, con aminoácidos y proteínas, devuelve al cabello su aspecto natural. Contiene filtro solar protector de los rayos UV. Con aceite de argán. MODO DE EMPLEO Aplicar sobre el cabello húmedo hasta obtener una emulsión consistente. Aclarar cuidadosamente con agua abundante.",,"Fórmula, Ingrediente, Beneficios"
Keen Strok CHAMPU BAIN NUTRITIVE CAB.SECOS 1000MLUnidad,10663861529674909853,es,ES,Champú nutritivo para cabellos normales y secos. Su composición con aceite de macadamia y vitamina E nutren el cabello. Repara y sella la cutícula a varios niveles de profundidad con keratina. MODO DE EMPLEO Aplicar sobre el cabello mojado y emulsionar sobre el cuero cabelludo hasta obtener espuma. Aclarar abundantemente. Repetir la operación sobre todo el largo del cabello. Enjuagar.,,"Fórmula, Ingrediente, Beneficios"
Yunsey CHAMPU AROMATICO VEGAN MENTA Y JENGIBRE NEUTRO 1000MLUnidad,16854246814129183733,es,ES,"Depeluqueriaproductos os presenta el CHAMPU AROMATICO MENTA Y JENGIBRE NEUTRO YUNSEY 1000ML , suave y ligero que elimina totalmente los residuos del cabello. Es de PH neutro por lo que sirve para todo tipo de cabellos. Es una opción ideal para uso frecuente, dejando el cabello limpio y brillante , con el cual también disfrutaras de su aroma. Champús neuro suave y ligero que elimina eficazmente los residuos. Características Champu Aromatico MENTA Y JENGIBRE: Proporciona una agradable sensación de placer e intensificación de los sentidos. Los champús aromáticos de Yunsey Professional son una opción ideal para quienes necesitan un champú de uso frecuente, que deje el cabello limpio y brillante, con el hándicap de su delicioso aroma. Para uso profesional. MODO DE EMPLEO: Aplicar sobre el cabello húmedo y masajear suavemente durante 5-7 minutos. Aclarar. Depeluqueriaproductos.com somos especialistas en cabellos tanto de caballero como de mujer. Todos nuestros productos son de uso profesional. Las calidades de nuestros productos son inmejorables, y además trabajamos con primeras marcas. Nuestra Tienda On-line está especializada en productos del cuidado del cabello y de la piel, por ello somos su mejor elección.",,"Fórmula, Ingrediente, Beneficios"
